method,subject,n_channels,score
EEGNet,38,16,0.55
CSP+LDA,38,12,0.5900000000000001
MDM,38,12,0.6599999999999999
TS-LR,38,12,0.62
EEGNet,38,12,0.54
CSP+LDA,38,8,0.53
MDM,38,8,0.6599999999999999
TS-LR,38,8,0.65
EEGNet,38,8,0.5
CSP+LDA,38,4,0.6
MDM,38,4,0.6
TS-LR,38,4,0.6300000000000001
EEGNet,38,4,0.5700000000000001
CSP+LDA,39,62,0.7899999999999999
MDM,39,62,0.64
TS-LR,39,62,0.8
EEGNet,39,62,0.59
CSP+LDA,39,16,0.85
MDM,39,16,0.76
TS-LR,39,16,0.9
EEGNet,39,16,0.72
CSP+LDA,39,12,0.82
MDM,39,12,0.76
TS-LR,39,12,0.8800000000000001
EEGNet,39,12,0.6900000000000001
CSP+LDA,39,8,0.79
MDM,39,8,0.74
TS-LR,39,8,0.82
EEGNet,39,8,0.72
CSP+LDA,39,4,0.66
MDM,39,4,0.68
TS-LR,39,4,0.71
EEGNet,39,4,0.6700000000000002
CSP+LDA,40,62,0.4600000000000001
MDM,40,62,0.55
TS-LR,40,62,0.53
EEGNet,40,62,0.48
CSP+LDA,40,16,0.48
MDM,40,16,0.54
TS-LR,40,16,0.6399999999999999
EEGNet,40,16,0.5
CSP+LDA,40,12,0.48
MDM,40,12,0.55
TS-LR,40,12,0.63
EEGNet,40,12,0.44000000000000006
CSP+LDA,40,8,0.51
MDM,40,8,0.5900000000000001
TS-LR,40,8,0.53
EEGNet,40,8,0.42000000000000004
CSP+LDA,40,4,0.6100000000000001
MDM,40,4,0.6
TS-LR,40,4,0.63
EEGNet,40,4,0.53
CSP+LDA,41,62,0.62
MDM,41,62,0.43000000000000005
TS-LR,41,62,0.45
EEGNet,41,62,0.5599999999999999
CSP+LDA,41,16,0.51
MDM,41,16,0.45
TS-LR,41,16,0.55
EEGNet,41,16,0.4800000000000001
CSP+LDA,41,12,0.65
MDM,41,12,0.51
TS-LR,41,12,0.5800000000000001
EEGNet,41,12,0.45000000000000007
CSP+LDA,41,8,0.6100000000000001
MDM,41,8,0.49000000000000005
TS-LR,41,8,0.5599999999999999
EEGNet,41,8,0.51
CSP+LDA,41,4,0.5
MDM,41,4,0.4600000000000001
TS-LR,41,4,0.42000000000000004
EEGNet,41,4,0.54
CSP+LDA,42,62,0.5999999999999999
MDM,42,62,0.56
TS-LR,42,62,0.6
EEGNet,42,62,0.64
CSP+LDA,42,16,0.6100000000000001
MDM,42,16,0.5900000000000001
TS-LR,42,16,0.68
EEGNet,42,16,0.53
CSP+LDA,42,12,0.6299999999999999
MDM,42,12,0.59
TS-LR,42,12,0.5900000000000001
EEGNet,42,12,0.5599999999999999
CSP+LDA,42,8,0.5199999999999999
MDM,42,8,0.54
TS-LR,42,8,0.59
EEGNet,42,8,0.55
CSP+LDA,42,4,0.55
MDM,42,4,0.57
TS-LR,42,4,0.5800000000000001
EEGNet,42,4,0.5900000000000001
CSP+LDA,43,62,0.79
MDM,43,62,0.6300000000000001
TS-LR,43,62,0.8099999999999999
EEGNet,43,62,0.54
CSP+LDA,43,16,0.8299999999999998
MDM,43,16,0.7899999999999998
TS-LR,43,16,0.79
EEGNet,43,16,0.55
CSP+LDA,43,12,0.8300000000000001
MDM,43,12,0.8099999999999999
TS-LR,43,12,0.8100000000000002
EEGNet,43,12,0.55
CSP+LDA,43,8,0.8099999999999999
MDM,43,8,0.8200000000000001
TS-LR,43,8,0.8400000000000001
EEGNet,43,8,0.52
CSP+LDA,43,4,0.6200000000000001
MDM,43,4,0.64
TS-LR,43,4,0.63
EEGNet,43,4,0.5599999999999999
CSP+LDA,44,62,0.9
MDM,44,62,0.6
TS-LR,44,62,0.8699999999999999
EEGNet,44,62,0.8
CSP+LDA,44,16,0.89
MDM,44,16,0.9
TS-LR,44,16,0.8799999999999999
EEGNet,44,16,0.8700000000000001
